Country,Frequency
India,7038
China,3064
Syrian Arab Republic,2524
Turkmenistan,2198
Philippines,1778
Turkey,1612
Japan,1202
Saudi Arabia,714
Armenia,712
Lebanon,644
Cyprus,578
Jordan,438
Georgia,416
Pakistan,360
"Palestine, State of",330
Israel,282
Malaysia,236
"Iran, Islamic Republic of",172
Yemen,126
Kyrgyzstan,126
Indonesia,108
Kazakhstan,90
Maldives,84
Macao,80
Nepal,72
Afghanistan,54
Thailand,40
Cambodia,36
Lao People's Democratic Republic,32
Sri Lanka,28
"Korea, Democratic People's Republic of",22
Uzbekistan,18
Azerbaijan,18
"Taiwan, Province of China",18
Mongolia,10
"Korea, Republic of",10
Myanmar,10
Qatar,6
Bangladesh,6
Iraq,6
Oman,2
