Country,Frequency
France,28476
United Kingdom,22268
Italy,13908
Greece,11656
Germany,10684
Romania,9816
Spain,7286
Netherlands,5026
Ireland,4482
Sweden,2958
Poland,2174
Denmark,1760
Portugal,1750
Switzerland,1480
Norway,1346
Hungary,1238
North Macedonia,786
Iceland,672
Belgium,560
Gibraltar,510
Russian Federation,496
Ukraine,474
Malta,468
Slovakia,292
Finland,246
Czechia,236
Lithuania,230
Bulgaria,208
Latvia,138
Albania,112
Serbia,108
Croatia,96
"Moldova, Republic of",92
Estonia,84
Luxembourg,64
Austria,30
Monaco,18
Jersey,6
Isle of Man,2
Guernsey,2
Belarus,2
