Country,Frequency
Egypt,3914
South Africa,2180
Côte d'Ivoire,688
Tunisia,628
Ethiopia,516
Guinea,460
Ghana,386
Morocco,322
Libya,318
Sierra Leone,316
Algeria,316
Senegal,222
Nigeria,152
Niger,138
Angola,118
Liberia,112
Mauritania,106
Mauritius,88
Gambia,86
Mali,62
Sudan,44
Kenya,44
Benin,42
Zimbabwe,38
"Tanzania, United Republic of",34
South Sudan,30
Mozambique,30
Cameroon,30
Madagascar,26
Equatorial Guinea,20
Chad,16
Central African Republic,14
Togo,12
Somalia,10
Cabo Verde,6
Botswana,4
Uganda,4
Malawi,4
Zambia,2
"Congo, The Democratic Republic of the",2
Réunion,2
"Saint Helena, Ascension and Tristan da Cunha",2
Gabon,2
