Country,Frequency
Côte d'Ivoire,6
South Africa,45
United Kingdom,10
Ireland,1
Hungary,2
Angola,30
Sweden,3
Portugal,3
Turkey,15
Netherlands,8
Ghana,11
United States,78
Brazil,1
Egypt,125
Libya,15
Sierra Leone,6
Russian Federation,2
Syrian Arab Republic,29
Peru,4
Cuba,1
France,11
Madagascar,3
Lebanon,4
Mexico,1
Guinea,7
India,14
Mauritania,5
Ethiopia,17
Panama,1
North Macedonia,2
Niger,2
Romania,13
Nigeria,3
Kenya,2
Tunisia,17
Greece,16
Italy,13
Saudi Arabia,7
Turkmenistan,1
Cyprus,3
Armenia,4
Cameroon,2
Spain,7
Yemen,1
Maldives,1
Germany,5
Canada,2
Belgium,2
Morocco,8
Denmark,1
Liberia,1
China,2
Chad,2
Czechia,1
Japan,4
Georgia,2
Colombia,5
Puerto Rico,2
Togo,1
Nicaragua,1
Algeria,4
Malaysia,1
Norway,2
Israel,2
Gibraltar,2
Mozambique,1
