Country,Frequency
Germany,38
United States,1196
Norway,4
France,92
Angola,1
United Kingdom,74
Guatemala,1
Anguilla,1
Denmark,5
Italy,78
Panama,10
Romania,57
Ireland,16
South Africa,22
Russian Federation,2
Canada,8
Peru,9
Cuba,5
Sweden,7
Greece,89
Turkey,47
Syrian Arab Republic,31
Mexico,10
Libya,4
Egypt,46
Mauritania,2
Ethiopia,2
Spain,28
Nicaragua,4
Turkmenistan,6
North Macedonia,7
Côte d'Ivoire,2
Niger,2
China,6
Netherlands,12
Belgium,7
Ghana,1
India,12
Jamaica,7
Brazil,2
Tunisia,4
Switzerland,7
Saudi Arabia,22
Ukraine,4
Lebanon,5
Armenia,6
Gibraltar,1
Yemen,2
Cameroon,1
Philippines,9
Morocco,1
Liberia,1
Estonia,1
Grenada,2
Japan,3
Chad,1
Czechia,1
Sierra Leone,2
Guinea,3
Puerto Rico,8
Georgia,3
Poland,6
Chile,1
Hungary,3
Colombia,9
Jordan,2
Saint Lucia,1
"Venezuela, Bolivarian Republic of",1
Cyprus,5
Argentina,1
Portugal,4
Algeria,1
New Zealand,1
Ecuador,1
Kazakhstan,1
Uruguay,2
Bahamas,1
Greenland,2
Luxembourg,1
Serbia,1
