Country,Frequency
Saudi Arabia,17
"Iran, Islamic Republic of",1
Turkmenistan,2
India,56
Georgia,2
United States,37
Greece,11
Lebanon,6
Syrian Arab Republic,25
Egypt,16
Armenia,8
Switzerland,1
Turkey,88
Jordan,6
"Palestine, State of",7
France,8
Italy,4
Germany,3
Ethiopia,13
China,4
Sudan,2
Libya,1
Portugal,7
Romania,7
Yemen,3
Philippines,16
Panama,3
Spain,4
United Kingdom,4
South Africa,3
Argentina,2
Colombia,1
Hungary,1
Pakistan,1
Israel,3
Cyprus,4
Ghana,1
Mexico,1
Cambodia,1
Japan,4
Brazil,1
Niger,4
Peru,2
Sri Lanka,1
Mauritania,1
Afghanistan,1
Senegal,3
Gambia,2
Sweden,1
Ireland,1
Uruguay,1
