Country,Frequency
France,395
Sweden,32
United States,510
Netherlands,95
UK,139
India,46
Germany,199
South Africa,48
Denmark,37
Uruguay,11
Ireland,102
United Kingdom,483
Romania,95
Italy,156
Hungary,27
Croatia,3
Austria,12
Greece,221
Turkey,79
Holy See (Vatican City State),3
China,14
Spain,133
Côte d'Ivoire,6
Czechia,27
Russian Federation,25
Philippines,34
Nicaragua,11
Belarus,1
Mexico,5
Poland,18
Malta,3
Japan,6
North Macedonia,7
Australia,9
Colombia,4
Albania,2
Israel,10
Greenland,12
Norway,18
Iceland,8
Panama,3
Turkmenistan,13
Mauritius,1
Grenada,10
Belgium,13
Canada,22
Switzerland,27
Eswatini,6
Guernsey,3
Jersey,8
Serbia,2
"Venezuela, Bolivarian Republic of",5
Peru,6
Portugal,47
Chile,2
Guam,1
Mozambique,1
Honduras,1
French Guiana,1
Sierra Leone,1
Ghana,9
Guinea,13
Malaysia,2
Bosnia and Herzegovina,2
Benin,4
Angola,2
Senegal,2
Gambia,3
Morocco,3
Libya,3
Tunisia,13
Jamaica,2
Ukraine,6
Latvia,1
Georgia,3
Brazil,14
Ethiopia,3
Egypt,31
Qatar,1
Gibraltar,4
Saudi Arabia,1
Kazakhstan,1
Gabon,1
Cuba,2
"Iran, Islamic Republic of",2
Liberia,1
Trinidad and Tobago,1
Syrian Arab Republic,15
"Palestine, State of",1
Cyprus,2
Puerto Rico,1
Bahamas,2
Pakistan,2
Nigeria,2
Afghanistan,2
Algeria,7
Lebanon,3
Armenia,2
Mauritania,2
Jordan,1
Norfolk Island,2
Bermuda,1
Bulgaria,1
Kenya,1
Madagascar,1
Niger,1
Slovakia,2
Lithuania,1
Argentina,1
