Country,Frequency
Paraguay,3
Peru,45
United States,21
Ireland,8
United Kingdom,9
Austria,8
Hungary,2
Brazil,97
China,12
Denmark,1
France,17
Germany,4
Greece,10
Italy,7
Japan,8
Philippines,4
Ecuador,8
"Bolivia, Plurinational State of",23
Colombia,62
Argentina,8
Netherlands,2
Switzerland,2
Romania,4
India,3
Portugal,5
Russian Federation,8
Spain,15
Sweden,2
Eswatini,1
Uruguay,8
"Venezuela, Bolivarian Republic of",11
Falkland Islands (Malvinas),3
Mali,2
Chile,9
French Guiana,1
Belgium,2
Iceland,2
Jamaica,3
Mexico,8
Egypt,5
Norway,2
Turkey,2
South Africa,2
Canada,2
New Zealand,2
Côte d'Ivoire,1
Uzbekistan,1
Bahamas,1
Sierra Leone,1
Ethiopia,1
Guyana,1
Suriname,1
Angola,1
Poland,1
Gibraltar,1
Afghanistan,1
Bulgaria,1
