Entry,City,Country code,Edition,Country,Continent
"Encyclopaedia Britannica; Or, A NEW a D I C T I o ARTS and S A B A A, the name of feveral rivers in different parts of the world, viz, i. of one in Solagne, in France; 2. of one in French Flanders; 3, of three in Switzerland; 4. of five in the Low Countries; 5, of five in Weftphalia; 6. of one in Livonia",Livonia,"FR,CH,US",1,"France,Switzerland,United States","Europe,Europe,North America"
"AADE, the name of two rivers, one in the country of the Grifons in Switzerland, and the other in Dutch Brabant",,"CH,NL",1,"Switzerland,Netherlands","Europe,Europe"
"AAM, a Dutch meafure for liquids, containing about 63 lb. avoirdupoife",,NL,1,Netherlands,Europe
"AAR,, the name of two rivers, one in Weftphalia, and one in Switzerland, It is likewife the name of a fmall ifland in the Baltic fea",,CH,1,Switzerland,Europe
"ABADIR, a title which the Carthaginians gave to gods of the fird order. In the Roman mythology, it is the name of a done which Saturn fwallowed, believing.it to be his new-born fon Jupiter: hence it became the object of religious worfhip","Roman, Jupiter","RO,US",1,"Romania,United States","Europe,North America"
"ABANO, a fmall town in Italy, fubjedt to Venice, and fituated five miles fouth-wed of Padua",Venice,"IT,US",1,"Italy,United States","Europe,North America"
"ABARCA, a (hoe made of raw hides, formerly worn by the peafants in Spain",,ES,1,Spain,Europe
"equivalent in value to a French livre, or tenpence half¬ penny Sterling. It took its name from Schaw Abas II",Sterling,"US,FR",1,"United States,France","North America,Europe"
"ABBEFORD, a fea-port town in Norway, in 58. 44",,NO,1,Norway,Europe
"ABBESS, the fuperior of an abbey or convent of nuns, over whom (he has the fame authority as the abbots over the monks. Their fex indeed hinders them from per¬ forming ( ^ ) ABB ( forming the fpiritual.fun&ions; but in the 12th century there were abefl'es in Spain who gave bencdi&ions, and confefled people of both fexes",,ES,1,Spain,Europe
"ABBEVILLE, a large city of Piccardy in France, ly¬ ing 90 miles north of Paris, in 50. 7. N. lat. and 2. o. E. long",Paris,"FR,US",1,"France,United States","Europe,North America"
"ABBEY-BOYLE, a town in the county of Rofcom- mon in Ireland",,IE,1,Ireland,Europe
"ABERBROTHOCK, one of the royal boroughs of Scotland, fituated in the county of Angus; about 40 miles-north of Edinburgh. Its weft long, is 2. 20",Edinburgh,GB,1,United Kingdom,Europe
"and N. lat. 56. 30. There was formerly one of the richeft monafteries in Scotland in this town. It was founded by King William of Scotland about the year 11 /,o, in honour of Thomas Becket Archbiffiop of Canterbury, with whom he is faid to have been in¬ timately acquainted. This monaftery received confi- derable donations from Gilchrift Earl of Angus,» and Gilbred his fon. It was poffeffed by the monks of St Ilennet. The inhabitants of Aberbrothock, for. the: fake A B E. ( ^ fake of their monaftery, were made deniforts of all England (London excepted) by King John","Canterbury, London",GB,1,United Kingdom,Europe
"ABERDEEN, the name of two cities in Scotland, call¬ ed the Old and New Towns, fituated on the German Ocean, in i 45. W. ion. and 57. n, N. lat",,DE,1,Germany,Europe
"ABERGAVENY, in Monmouthfhire, England, a well- built town, lying 142 miles W. by N, of London, in 51. 50. N. lat. and 36. 5 W Ion. This town Con- fids of about 500 houfes, has a Weekly market on the Tuefdays, .and another on the Fridays; and three fairs for horfes, (beep, and black cattle",London,GB,1,United Kingdom,Europe
"ABERYSWITH, a market-town in Wales, lying 199 miles V/. S. W. of London, in 52. 30. N. lat. and 40 15 W. long",London,GB,1,United Kingdom,Europe
"ABIB, fignifying an ear of corn, a name given by the Jews to the fird month of their ecdefiadical year, af¬ terwards called Nifan. It commenced at the vernal equinox, and, according to the courfe of the moon, by which their months were regulated, anfwered to the latter part of our March, and beginning of April",March,GB,1,United Kingdom,Europe
"ABIG1ES, a term in the Roman law, applied to one who had been guilty of the crime Abig eat ; which fee",Roman,RO,1,Romania,Europe
"ABINGDON, a town of Berklhire, England, feated on the Thames, about 55 miles W. of London, and gives title of Earl to the noble family of Bertie",London,GB,1,United Kingdom,Europe
"ABLAY, or Abl ai, a country of Great Tartary, whofe inhabitants, called Bochars, are vaffals of tire Ruf¬ fians. It lies to thaeaft of the Intis, and extends 500 leagues along the fouthern frontiers,4of Siberia. : ABLECTI, in Roman antiquity, a feleht body of foldiers chofen from among thofe called Extraord inaiui i, which Fee",Roman,RO,1,Romania,Europe
