Entry,City,Country code,Edition,Country,Continent
"A N G Angerema- \ NGEREMANIA, a province of the kingdom nia J~\ of Sweden, bounded on the N. by Lapland and . "" Bothnia, on the E. by the gulph of Bothnia and Me- * nferS',; an^ on W. by Jemti and Herndel. It is ' full of rocks, mountains, and forefts ; and there is one very high mountain called Scu//. It has excellent iron¬ works, and lakes abounding with fiih",,SE,3,Sweden,Europe
"ANGERMOND, a town of the duchy of Berg, in Germany, on the E. fide of the Rhine, fubjeft to the Ele&or Palatine. E. Long. 6. 20. N. Lat.51. ic",Palatine,"DE,US",3,"Germany,United States","Europe,North America"
"ANGERS, a great city of France, and capital of the duchy of Anjou, wdth a bilhop’s fee. It is feated a little above the place where the Sarte and the Loire lofe themfelves in the Maine. This laft river divides the city into two equal parts, called the High and the Low Town. There are twelve pariflies in the city, and four in the fuburbs, which contain upwards of 36,000 inhabitants. Befides thefe, there are eight chapters, and a great number of convents for both fexes",,FR,3,France,Europe
"A N G dergone many alterations in the-courfe of ages fince its -Angers conftruftion, yet the archite&ure is Angular, and de- AnLje> ferves attention. Here lies interred with her anceftors 1   —* the renowned Margaret, daughter of Rene king of Si- ' cily, and queen of Henry VI. of England. She ex¬ pired, after her many intrepid, but ineffeftual, efforts to replace her hufband on the throne, in the year 1482, at the caftle of Dampierre in Anjou. Near the church of St Michael is the handfomeft fquare in the city, from whence runs a ftreet which has the name of the church",Angers,FR,3,France,Europe
"On one fide of this ftreet is the town-houfe ; which has a fine tower, with a clock, raifed upon an arch, which ferves for a paffage into the great fquare. There are two large bridges, which keep up a communication between the two parts of the city ; and in the leffer of thefe there is another fquare, which ferves for a mar¬ ket. The univerfity of Angers was founded in 1398,- and the academy of belles lettres in 1685. This laft confifts of thirty academicians. At the end of the fuburbs of Brefigny are the quarries of Angiers, fo famous for the fine flate which is got from thence",Angers,FR,3,France,Europe
"The pieces are of the thicknefs of a crown piece, and a foot fquare. All the houfes in Angers are'eovered with this flate, which has gained it the appellation of the Black city. The waits with which king John of England furrounded it in 1214 remain nearly entire, and are of very great circumference. W. Long. o. 3c",Angers,FR,3,France,Europe
"ANGHIERA, a town of Italy, in the duchy of Milan, and capital of a county of the fame name. It is feated on the eaftern fide of the lake Maggiore, in E. Long. 9. 5. N. Lat. 4J. 42",,IT,3,Italy,Europe
"ANGLES, an ancient German nation, originally a branch of the Suevi; who,, after various migrations, fettled in that part of Denmark, and duchy of Slef- wick, which to this day is called Angel, and of which the city of Flenftmrgh is the capital. Here they were Druids ; being the refidence of the Grand Druid, or chief pontiff, and confequently of all the learned doc¬ tors in that religion",,"DK,DE",3,"Denmark,Germany","Europe,Europe"
"Many ancient monuments of Druidifm ftill remain in the ifland.—At Tre’r Dryw, or the habitation of the arch druid, are feveral mutilated remains, which have been deferibed by Mr Rowlands. His Bryn G<wyn, or Brein Gwyn, or royal tribunal, is a circular hollow of 180 feet in diameter, furrounded by an immenfe agger of earth and ftones, evidently brought from fome other place, there not being any mark of their being taken known, even in the time of Tacitus, by the name of from the fpot. It has only a Angle entrance. This is Angli. The origin of this name is varioufly accounted fuppofed to have been the grand confiftory of the druidi- for. According to Saxo-Grammaticus, they were cal adminiftration.—Not far from it was one of the Gar- called Angli, from one Angulus, fon to Humblus king feddau, now in a manner difperfed, but which once of Denmark, Widifchind, a Saxon writer, will have them to be called Angli, from an ifland in the corner or angle of the fea, which they conquered. Goropius derives their name from the Saxon word Angel, or En¬ gel, fignifying a firti-hook ; the Angles, like the other Saxon nations, being greatly addifted to piracy, and on that account being fo named by the neighbouring nations; as if, like hooks, they caught all that was in the fea. To this nation the Britifli ambaffadors are faid to have applied when foliciting fuccours againft the Scots and Pifts. The Angles, therefore, came over fifted of a great copped heap of ftones, on which fat a- loft a druid, inftrudting the furrounding people mult a de Deorum immortalium vi et potejlate difputare, et juvftt* tuti tradunt; Caef. lib. 6.—Here were alfo the relics of a circle of ftones, with the cromlech in the midft ; but all extremely imperfeft. Two of the ftones are very large ; one, which ferves at prefent as part of the end of a houfe, is 12 feet 7 inches high, and 8 feet broad ; and another 11 feet high, and 23 feet in girth. Some leffer ftones yet remain. This circle, when complete, was one of the temples of the druids, in which their in greater numbers than any other Saxon nation ; and religious rites were performed. It is the conjecture of accordingly had the honour of giving the name of An¬ glia to England See Englanb",,DK,3,Denmark,Europe
"have the following animated defeription by Tacitus * : ^na' A N G [ iAnglefey. “ Stat pro littore diverfa acies, denfa amis vlrifque, intercurfantibus foeminis in modum furiarum, vefte fe- rali, crinibus dejeftis, faces preferebant; druidccqne cir- cutn, preces diras fublatis ad coelum manibus funden* tes. Novitate afpe&us percutere militem, ut quafi hse- Tentibus membris, immobile corpus vulneribus praebe- rent. Dein cohortionibus ducis, et fe ipfe ftimulantes, ne muliebre et fanaticum agmen pavefcerent, inferunt figna, fternuntque obvios et igni mo involvunt. Prse- fidium pofthac impofitum vicis, excifque luci, faevis fu- perftitionibus facri. Nam cruore captivo adolere aras, ethominum fibris confulere deos fas habebant.”—Thus Englifhed : “ On the Ihore ftood a motley army in clofe array, and well armed ; with women running wildly about in black attire with difhevelled hair, and like the furies brandiflring their torches ; furrounded by the druids, lifting up their hands to heaven, and pour¬ ing forth the moft dreadful imprecations. The foldier ftood aftonilhed with the novelty of the fight. His limbs grew torpid, and his body remaining motionlefs refigned to every wound. At length, animated by their leader, and rouzing one another not to be inti¬ midated with a womanly and fanatic band, they dif- played their enfigns, overthrew all who oppofed them, and flung them into their own fires. After the battle, they placed garrifons in the towns, and cut down the groves confecrated to the moft horrible fuperftitions : for the Britons held it right to facrifice on their altars with the blood of their captives, and to confult the gods by the infpe&ion of human entrails.”—There are no traces of any Roman works left in this country",Roman,RO,3,Romania,Europe
