Entry,City,Country code,Edition,Country,Continent
"ANGERMOND, a town of the duchy of Berg, in Germany, on the E. fide of the Rhine, fubjeft to the Ele&or Palatine. E. Long. 6. 20. N. Lat.51. ic",Palatine,"DE,US",3,"Germany,United States","Europe,North America"
"Hand the remains of Llanvaes, or the Friars. It was founded by Prince Llewelyn ap Jerwerth, and, accord¬ ing to the general tradition of the country, over the grave of his wife Joan, daughter of King John, who died in 1237, and was interred on the fpot. Here al- fo were interred afon of a Danifh king, Lord Clifford, and many barons and knights who fell in the Welflt wars. It was dedicated to St Francis, and confecrated by Howel bifhop of Bangor, a prelate who died in 1240. The religious were Francifcans, or minor friars",Bangor,US,3,United States,North America
"It of late became, by purchafe, the property of Lord Bulkeley. The church is turned into a barn, and the coffin of the princefs Joan now ferves for a watering- trough.—A little farther is Caftle Aber Llienawg, a fmall fquare fort, with the remains of a little round tower at each corner. In the middle one ftood a fquare tower. A fofs furrounds the whole. A hol¬ low way is carried quite to the ftiore, and at its extre¬ mity is a large mound of earth, defigned to cover the landing. This caille was founded by Hugh Lupus Earl of Chefter, and Hugh the Red Earl of Shrews¬ bury, in 1098, when they made an invafion, and com¬ mitted more favage barbarities on the poor natives, efpecially on one Kenred a prieft, than ever ftained the annals of any country. Providence fent Magnus king of Norway to revenge the cruelties. His coming was to all appearance cafual. He offeredto land, but was oppofed by the earls. Magnus ftood in the prow of his fhip, and calling to him a moft expert bowman, they at once directed their arrows at the Earl of Shrewf- bury, who ftood all armed on the fllore. An arrow pierced his brain through one of his eyes, the only defencelefs part. The vi&or, feeing him fpring up in the agonies of death, infultingly cried out in his own language, Lett loupe, “ Let him dance.” This fort was garrifoned fo lately as the time of Charles I",Providence,"NO,US",3,"Norway,United States","Europe,North America"
"ANGLUS (Thomas), an Englifti prieft, well known for the Angularity of his opinions, and feveral little tra£b which he wrote in the 17th century. He went by feveral names. Mr Baillet fays his true name was White; but that he ufed to difguife it under that of Candidus, Albus, Bianchi, and Richworth; but he was moft known in France by the name of Thomas An- •glus* Des Cartes generally called him Mr Vitus. He paffed fome time in moft countries of Europe ; but his longeft ftay was at Rome and Paris. When he was in England, he lived a confiderable time in the family of Sir Kenelm Digby ; and feems to have had a great e- fteem for the opinions of this gentleman, as may be feen in his writings, particularly in the Preface to his Latin work concerning the Inftitutions of the Peripatetic Philofophy, according to the hypothefis of Sir Kenelm","Rome, Paris","US,FR",3,"United States,France","North America,Europe"
"He w^s a great advocate for the peripatetic philofo¬ phy. He attempted even to make the principles of Ariftotle fubfervient to the explaining the moft impe¬ netrable myfteries of religion ; and with this view he engaged in the difcuflion of predeftination, free-will, and grace. Mr Baillet fays, “ What he wrote upon this fubjeft refembles the ancient oracles for obfcurity.” In fuch abftrufe points as we have mentioned, he was much embarraffed ; and, by giving too great fcope to his own thoughts, he pleafed neither the Molinifts nor Janfenitts. He is allowed, however, to have been a man of an extenfive and penetrating genius. On the isth of June 1658, the congregation of the Index Ex- purgatorius at Rome condemned fome treatifes of Thomas Anglus. The do&ors of Douay cenfured alfo 22 propofitions extraded from his Sacred Inftitutions",Rome,US,3,United States,North America
"He proved no lefs- fuccefsful than herfelf, and quickly jz forced the aggreffor to fubmit to her terms. She now Encourage* gave herfelf up to fludy the bed method of propagating chriffian!- Chridianity among her fubje&s; and for this purpofe^' fent a fokmn embaffy to Rome, to pay homage to the Pope in her name, and to requeft a frefh fupply of mif- fionaries. To this letter fire received an anfwer from his Holinefs in 1662 ; and it was read in the church, that fame year, in the mod public and folemh manner",Rome,US,3,United States,North America
"The father having finifhed the mafs, read the letter at the altar in the Portuguefe language; and the fecretary interpreted it in that of the country. The queen, who had flood all the while it was reading, went towards the A N G [ Angola, the altar, and on her knees received it from the fa- V— ther : and having kifled it, and fvvorn afrefh upon the 53 gofpel to continue in obedience to the church of Rome, Ceremoniest]ie ietter agra;nj. pUt it into the purfe, and re- aIeteterfr!Mnturne^ t0 Pa^ace amidft the (houts and acclamations the Pope. many thoufands of her fubjefts. On that day fhe gave a magnificent treat to the Portuguefe refident, and to all her court, in two great porticos, and file herfelf vouchfafed to eat after the European manner ; that is, fitting on a fiately elbow chair, with a high table be¬ fore her, covered with the fined linen, and with difiies, plates, knives, and forks, all of filver gilt. She be¬ llowed fome largefles upon her chief officers, releafed a good number of flaves, and at night appeared at the head of her ladies of honour, both Ihe and they drefled in the Amazonian manner. They performed a kind of combat, in which the queen, though upwards of eighty years of age, behaved with the great vigour and a£ti- 54 vity of a woman of thirty",Rome,"AO,US",3,"Angola,United States","Africa,North America"
"ANGOUMOIS, a province of France, bounded on the north by Poitou, on the eaft by Limoufin and March, on the fouth by Perigord, and on the weft by Saintonge. Through this province run the rivers Touvre and Charante. This laft is full of excellent filh ; and though it often overflows its banks, it is fo far from doing any damage, that it greatly enriches the foil. The Touvre is full of trouts. The air is generally warmer than at Paris, though the country is hilly. The A N G [ 17 ] A N G A^goura. foil produces plenty of wheat, rye, oats, SpanKh corn, Angoy. faffron, grapes, and all forts of fruits. Here arefeveral jron mlnes, which yield a veiy good fort of iron","March, Paris","FR,GB,US",3,"France,United Kingdom,United States","Europe,Europe,North America"
"The town is well built and populous, is the fee of a bifhop, under the jurifdidtion of the archbifhop of Lif- bon. It hath five parifhes, a cathedral, four monafteries, as many nunneries, befides an inquifition and bilhop’s court, which extends its jurifdi&ion over all the A- zores, Flores, and Corvo. It is furrounded by a good wall, a dry ditch of great depth and breadth, and de¬ fended by a ftrong caftle, rendered famous by the im- prifonment of king Alphonfo by his brother Peter in 1668. Though moft of the public and private build¬ ings have a good appearance externally, they are but indifferently furnifhed within; but for this poverty the Portuguefe excufe themfelves, by faying, that too much furniture would prove inconvenient in fo warm a cli¬ mate",Flores,GT,3,Guatemala,North America
"ANGRIVARII, (Tacitus); a people of Germany, fttuated between the Wefer and the Ems, and eaft ward reaching beyond the Wefer, as far as the Cherufci, on which fide they raifed a rampart (Tacitus); to the fouth, having the Tubantes on the Ems, and on the Wefer where it bends to the foreft Bacemis; to the weft, the Ems and the confines of the Bru&eri; and to the north, the territory of the Angrivarii lay between the Chama- vi and Anfibarii. Ptolemy places them between the Cauchi and Suevi or Catti. Suppofed now to contain a part of the county of Schaumburg, the half of the bifhopric or principality of Minden : to the fouth, the greateft part of the bifhopric of Ofnabrug, the north part of the county of Teclenburg, and a part of the county of Ravenfberg. A trace of the name of the people ftill remains in the appellation Engern, a fmall town in the county of Ravenfberg","Schaumburg, Minden","DE,US",3,"Germany,United States","Europe,North America"
