Entry,City,Country code,Edition,Country,Continent
"Fauchet obferves, that, in the early days of the French monarchy, dukes and counts were called abbots, and duchies and counties abbeys. Even fome of their kings are mentioned in hiftory under the title of abbots. Phi¬ lip I. Louis VI. and afterwards the dukes of Orleans, are called abbots of the monafery of St Aignan. The dukes of Aquitain were called abbots of the monafery of St Hilary at Poiciiers / and the earls of Aniou. of St Aubin, &c",Orleans,"BR,FR",4,"Brazil,France","South America,Europe"
"ABE F 2? ] ABE •Abefcfonv played. St Vincent’s was, by the middle of June, ad- by- ded to the BritiFh conquefts. Trinidad, in February J‘797> fliared the fame fate. He returned the fame year to Europe, and, in reward for fuch important fer- vices, was invefted with the red ribbon, appointed to the command of the regiment of Scots Greys, entruft- ed with the governments of the Ifle of Wight, Fort George, and Fort Auguftus, and raifed to the high mi¬ litary rank of lieutenant-general. He held, for a time, the chief command of the forces in Ireland. In that command, he laboured to maintain the difcipline of the army, to fupprefs the rifing rebellion, and to prote& the people from military oppreflion, with a care worthy alike of the great general and the enlightened and beneficent ftatefman. From that ftation he was called to the chief command of the forces in Scotland","Trinidad, George","IE,UY,ZA",4,"Ireland,Uruguay,South Africa","Europe,South America,Africa"
"ABIPON1ANS, a tribe of American Indians, who formerly inhabited the diftrift of Chaks in Paraguay ; but the hoftilities of the Spaniards have now obliged them to remove louthrvard into the territory lying be- ttveen Santa Fe and St Jago. The only account we have of them is that publiifhed by M. Dobrizhoffer in 1785. This gentleman, who lived feven years in their country, informs us that they are not numerous, the whole nation not much exceeding 5000 , for which he affigns as a reafon an unnatural cuftom among their women of fometimes deftroying their own children, from motives of jealoufy left their hufbands ftiould take other mates during the long time they give fuck* E which A B L [ j Atiram 'wliicla is not lefs than two years. They are naturally j white, but, by expofure to the air and fmoke, be- . come of a brown colour. They are a ftrong and har¬ dy race of people j which our author attributes to their marrying fo late, an Abiponian feldom or never think¬ ing of marriage till 30 years of age. They are great¬ ly celebrated on account of their chaftity and other virtues; though, according to our author, they have no knowledge of a Deity. They make frequent in- curfions into the territories of the Spaniards, mounted on the horfes which run wild in thofe parts. They have a kind of order of chivalry for their warriors j and are fo formidable, that 100* of their enemies will fly before ten of thefe horfemen. The hatred which thefe favages, whofe manners, though rude and uncul¬ tivated, are in many refpedls pure and virtuous, bear to the Spaniards, is invincible. “ Thefe pretended Chriftians,” fays our author, “ who are the fcum of the Spanilh nation, pra&ife every kind of fraud and villany among thefe poor barbarians j and their cor¬ rupt and vicious morals are fo adapted to prejudice the Abiponians againft the Chriftian religion, that the Jefuit miflionaries have, by a fever# law, prohibited any Spaniard from coming, without a formal permif- fion, into any of their colonies.”—From his account of the fuccefs of the Jefuits in converting them to Chri- ftianity, however, it does not appear that they have been able to do more than bribe them to a compliance with the ceremonies of the Popifh fuperftition ; fo that in general they are quite ignorant and uncivilized ; a moft ftriking inftance of which is, that in counting they can go no further than three ; and all the art of the Jefuits to teach them the fimpleft ufe and expref- flon of numbers has proved unfuccefsful",Santa Fe,"PY,US",4,"Paraguay,United States","South America,North America"
"The tranfaftions of her Son Menilek after his acceffion are not pointed out, farther than that he removed his capital to Tigre. His reign can by no means be ac¬ counted profperous 5 Since in his time the empire was invaded by ShiShak or Sefak the king of Egypt, who plundered the temple of Jerufalem under Rehoboam",Tigre,"EG,AR",4,"Egypt,Argentina","Africa,South America"
"Ethiopia The like fate attended a rich temple which had been conquered bup[t at Saba the capital of the Ethiopian empire, and by Shiihak. might very probably occafion the removal of the imperial feat to Tigre, as already mentioned. _ It is indeed pretty plain from Scripture, that Ethiopia, or great part of it, was fubjeft to this monarch 5 as the Ethiopians or CuShites, mentioned in his army which invaded Judea, are joined with the Lubims or Liby¬ ans, and muft therefore be accounted inhabitants of Ethiopia Proper. This is indeed no fmall confirma¬ tion of the opinion of Sir Ifaac Newton, who agrees with Jofephus in fuppofing ShiShak to have been the celebrated Sefoftris of profane hiftorians. . Thus- far vye are certain, that in the paffage of Scripture juft now alluded to, the facred hiftorian indireftly aferibes AbySWa* the fovereignty of Ethiopia to ShiShak ; and W'e do ' ""““v not find it anywhere hinted that another Egyptian monarch was pofleSTed of this fovereignty. Herodotus alfo plainly tells us, that Sefoftris w*as mafter of Ethi¬ opia, and ""that no other Egyptian but himfelf ever poSTeffed that empire","Tigre, Newton","ET,EG,AR,US",4,"Ethiopia,Egypt,Argentina,United States","Africa,Africa,South America,North America"
"he repaired to Dobarw'a, where he remained two years v-—-v——' quite negle&ed and forlorn, faying mafs to no more ®ermuc*es than ten Portuguefe who hadferttled thereafter the de-!eaZes.A"" feat of Don Chriftopher. He then went to Mafuah ; y ima‘ and the wind foon becoming favourable, he embarked in a Portuguefe veflel, carrying with him the ten per- fons to whom he had officiated as prieft. From Goa he returned to Portugal, and continued there till his death. On the other hand, the Portuguefe writers inform us, that he was narrowly watched by order of the emperor , and that Gafpar de Suza, the Portuguefe commander, had orders to put him to death if he ffiould attempt to make his efcape. Bermudes, however, be¬ ing determined at all events to make his efcape, pre¬ tended to be ill of the gout, and that a change of air was neceffary for his recovery 5 for which reafon he went to the town above mentioned, -where there was a monaftery. On this pretence he was allowed to crofs the kingdom of Tigre, accompanied by eight faithful fervants, with whom he reached Dobarwa unfufpe&ed",Tigre,"PT,AR",4,"Portugal,Argentina","Europe,South America"
"This fatal engagement took place on the 22d of March J559 ; and as the fucceflion had been already fettled, Menas afcended the throne without any oppo- fition. On his acceflion he found his affairs in great Reign of confufion, and he had ftill to contend with foreign and Menas, domeftic enemies. The firft of thefe w-as Radaet the king of the Jews, who had a territory in the empire of Abyflinia, the capital of which was on a rock named Satnen. The caufe of this quarrel is not known, but the event was unfortunate 3 the king being obliged to abandon the enterprife, after having beftowed a conli- derable time upon it. This was followed by an attempt to affaflinate him, wdiich had very near taken place ; and this again by a confpiracy among his principalRebellitfr! of nobles headed by Ifaac the Baharnagaih. He had been a ^aac tlie very faithful fervant of the late emperor Claudius 3 but ®a^arna"" ill ufed by Menas, who was of a very haughty and mo- ° rofe difpofition. In attempting to fupprefs this rebel¬ lion, the firft attempts of the emperor wTere likewife in- effeftual, his forces being attacked by furprife and en¬ tirely defeated. Soon after this, Ifaac proclaimed Tafcar the nephew of Menas, who was then at liberty, king of Abyflinia 3 hoping thereby to ftrengthen his caufe, and enable him to cope with the emperor, who was affembling a powerful army againft him. This ex¬ pedient did not anfwer the purpofe. His army was He is de- entirely defeated by Menas 3 Tafcar taken prifoner, feateT and thrown headlong from*the top of a precipice 3 and Ifaac himfelf efcaped with great difficulty to the confines of his own government in the neighbourhood of Mafuah. Here he entered into an alliance with the Allies with Turkiffi bafhaw of Mafuah 3 whofe friendflup he gained the Turks by putting him in poffeflion of the town of D.obarwa, an^rPorUl* with the flat country adjacent, which abounds with the^ue e‘ plovifions wanted at Mafuah, and is looked upon as the key to the province of Tigre and the high-lands of Abyffinia. Befides this, Ifaac ftrengthened himfelf alfo by an alliance with the Portuguefe 3 which, had their numbers been at all confiderable, muft have been very formidable. Their inclination to defert their form¬ er protedlor and ally the emperor, proceeded entirely from the (hameful behaviour of their priefts, who never wrould be fatisfied without enflaving the emperor as well as his fubjedts to the tyranny of Rome. We have Reafon of already feen that Bermudes had proceeded fo far on their quar- this lubjedl, that he narrowly efcaped with his life. His rel with the fucceffor Oviedo (for the patriarch Nugnez died by the emPeror- way) fared ftill worfe. On his introdudlion to the emperor Claudius, he informed him, that the pope and king of Portugal now expedled no lefs than an imme¬ diate fulfilment of his engagements of fubmiflion to the fee of Rome. This requifition was made with fuch an air of infolence, that the prince could fcarce conceal his refentment 3 but reftraining his paffion, he promifed to confider of it, and to call meetings of the learned in thefe matters to debate the point. This was a very fmitlefs talk 3 and therefore Oviedo thought proper to quit the court towards the end of December 1558 3 leaving behind him ah infolent letter addreffed to the Portuguefe A B Y [ 73 ] A B Y AbyfTinia. Portuguefe and fuch converts as tliey had made 5 in '•——‘v——^ which he exhorted them not to converfe with fchifma- tics, and the AbyfTmians to forfake their errors. Be¬ ing now debarred from accefs to the emperor, he be¬ gan to entertain the people with feditious difcourfes ; which practice he continued during the remaining part of the reign of Claudius and the beginning of that of Menas. The latter, perceiving the pernicious tenden¬ cy of his difcourfes, pofitively commanded him to de- fiftj which the patriarch refufing, the emperor fell upon him with his own hands, beat him fevereiy, tore his clothes and beard, and took his chalice from him that he might thus be difabled from faying mafs: after Oviedo ba- which he banilhed him, with Francis Lopez another nifhed to a of his affociates, to a barren mountain, where they re- mountain. mained feven months in great mifery. Not content with this, he iffued many fevere edi&s againft the Por¬ tuguefe } prohibited them from intermarrying with the Abyffinians 5 and fuch of the Abyffinian women as were already married to Portuguefe hufbands, he com¬ manded not to accompany them to their churches","March, Tigre, Rome, Oviedo, Rome, Oviedo, Oviedo","US,PT,GB,AR",4,"United States,Portugal,United Kingdom,Argentina","North America,Europe,Europe,South America"
"While Sertza Denghel employed himfelf in reprefs- ing the incurfions of the Galla, one Cadwrard Balha, a Turkilh officer of great valour and experience, who had been inverted wdth the office of balhaw1 of Mafuah, began to make inroads into the province of Tigre. Tigre inva- The emperor haftened to oppofe him ; but in his paf-ded by Cad- fage committed great devailation$ in the country of the a Falaffia, in order to provoke them to defcend from their mountains and come to an engagement. i here Falalha profefs the Jewilh religion, and w^ere then go-King of the verned by a king named Gejhen. This monarch, Prc>-and"" voked at the ravages and dellrudlion he beheld, de-kiUed<‘ fcended vuth vaft numbers of his fubjecls, in order to revenge it; but was killed, and his army utterly de¬ feated by the Abyffinians, on the 19th of January 1594. The vitlorious Sertza then haftened to encoun¬ ter the baffiawr ; w ho, confident of the fuperiority of his own troops, not only waited for him patiently, out gave him every advantage he could delire. A very defperate battle enfued ; the event of which was doubtful, till Robel, commander of part of the king’s houlehold troops, wffio wTere armed wflth pikes, attacked that part of the Turkilh horfe where he faw the balhawq and kill¬ ed the officer who carried the ftandard. In doing this he broke his pike ; but though then deftitute of any The ba- other weapon than a fhort crooked knife which the A- j?iaw de- byffinians always carry in their girdles, he inrtantly anc puffied up to the bafhawn and with it wounded him mor- K tally A B Y [ 74 J A B Y AbyfTinia. tally in tlie throat. This unexpected event iuftantly decided the victory $ the Turkifh horfe betook them- felves to flight, and the reft of the army foon followed $heir example. A dreadful {laughter enfued among the Moors, who were purfued to the ifland of Mafuah j and many were driven into the deferts, where they pe- rifhed with thirft. After this, marching back to the we^ern Par!: °t' -hi5 territories, the emperor proceeded ror. eir'^e"" to Narea, deftroying the Galla as he went along. His laft expedition was towards Damot to chaftife fome re¬ bels there. Before he fet out, a prieft of great fan£H- ty and talent for divination, is faid to have warned him not to undertake the war ■, but his advice was rejedled with contempt : on which he requefted him only not to eat the filh taken out- of a certain river ; but this ad¬ vice was alfo negleifted, and the fifh being really of a „ „ r poilonous nature, the king died in confequence of eat- Twofuecef-i , ° 1 forsnomi- mg them","Tigre, Tigre",AR,4,Argentina,South America
"Before any thing of importance could be done in Abyffimav matters of religion, the king wras called forth to fup- v—' prefs a rebellion which had already taken place. An An impoftor had appeared, who called himfelf Jacob the ing^cfbT late king, and pretended to have efcaped from the the late em¬ battle 5 but fo much wounded in the face that he kept peror Jacob one fide of it conftantly covered to conceal the defor- appears- mity. He made his appearance among the mountains of Habab near Mafuah 5 and being joined by great numbers of people, Sela Chriftos, brother to the king, and governor of Tigre, marched againft him. The Is defeated.",Tigre,AR,4,Argentina,South America
"Chriftos •, but that general, finding the rebellion likely to. fpread through the whole province of Tigre, thought proper now to acquaint his brother Socinios with the ftate of affairs, and to defire his affiftance. The king, though at that time he had fent away moft of his troops in an expedition againft the Shangalla and Gongas, who dwell on the north-weft of Abyffinra, fet out im¬ mediately with fuch troops as he could colleft. Thefe were but few in number j his cavalry particularly, amounting to no more than 530, befides a fmall rein¬ forcement brought by his brother Emana Chriftos, go¬ vernor of Amhara. As he proceeded, he was inform¬ ed that a party of Galla were lodged on a hill at no great diftance from him. Determining to cut them1 off,, he furrounded the hill where they were ported ; but having caufed his cavalry to advance before, and pafs a deep ravine, they were almoft entirely deftroy- ed, while the reft of the army were feized with fuch a panic that they refufed to ftir. In this extreme dan¬ ger, the Galla parted the ravine to attack them; but the king having advanced hngly, and killed the firft of them, his troops, affiamed of their cowardice, ruffied forward on the enemy,, and gained a complete viftory,.Jhe^Galla",Tigre,AR,4,Argentina,South America
