Entry,City,Country code,Edition,Country,Continent
"CUFF, Henry, the unfortunate fectetary of the unfortunate earl of Effex, was born at Hinton St George in Somerfetlhire, about the year 1560, of a genteel family, who were pofieffed of conliderable e~ Rates in that- county. In 1576, he was entered 01 Trinity college Oxford, where he foon acquired con- fiderable Cudwdhh I! Cuff, C U I [ 'Guff Merable reputation as a Grecian and difputant. He Cuirafs. obtaIued a fellott'ihip in the above-mentioned college ; but was afterwards expelled for fpeaking difrefpedt- fully of the founder'(a). He was, however, foon after admitted of Merton college j of which, in 1586, he was elected probationer, and in 1588 fellow. In this year he took the degree of matter of arts. Some time after he was elected Greek profefior, and in I ^4 pro&or of the univerfity. When he left Oxford is uncertain ; nor are we better informed as to the means of his introduction to the earl of Etfex. When that nobleman was made lord lieutenant of Ireland, Mr Cuff was appointed his fecretary, and continued inti¬ mately connected with his lordlhip until his confine¬ ment in the tower; and he is generally fuppofed to have advifed thofe violent meafures which ended in their mutual deitruCtion. The earl indeed confeffed as much before his execution, and charged him to his face with being the author of all his misfortunes. Mr •Cuff was tried for high-treafon, convicted, and execut¬ ed at Tyburn on the 30th of March 1601. Lord Ba¬ con, Sir Henry Wotton, and Camden, fpeak of him in very harfh terms. He was certainly a man of learning .and abilities. He wrote two books ; the one entitled","George, Oxford, Oxford, March, Camden","US,IE,ZA,GB,GR",5,"United States,Ireland,South Africa,United Kingdom,Greece","North America,Europe,Africa,Europe,Europe"
"The Differences of the Ages of Man’s Life ; the other, Be Rebus Gejlis in SanSio Concilio Nicarw. The -firff was publilhed after his death 3 the fecond is Hill in ma- nufeript",Man,CI,5,Côte d'Ivoire,Africa
"Cunningham, Alexander, author of a Hiftory of Great Britain from the Revolution to the accef- flon of George I. was born in the fouth of Scotland {ibout the year 1654, in the regency of Oliver Crom¬ well. His father vras minifter at Ettrick, in the prefbytery and {hire of Selkirk. He was educated, as was the cuflom among the Scottilh prelbyterian gentlemen of thofe times, in Holland ; where he imbibed his principles of government, and lived much with the Englifli and Scots refugees at the Hague before the revolution, particularly with the earls of Argyle and Sunderland. He came over to England with the prince of Orange, and enjoy¬ ed the confidence and intimacy of many leading men among the whig party, that is, the friends and abet¬ tors of King William and the revolution. He -was employed, at different times, in the charadter of a travelling companion or tutor \ firft, to the earl of Hyndford, and his brother Mr William Carmichael, folicitor-general, in the reign of Queen Anne, for Scotland j fecondly, with the lord Lome, afterwards fo well known under the name of John duke of Ar¬ gyle ; and thirdly, with the lord vifeount Lonfdale. In his travels, we find him, at the German courts, in company with the celebrated Mr Jofeph Addifon, y/hoie virtues he celebrates, f 4 Cuneus drawn up in form of a wedge, tnrmifrl-1 fho *-o *-1 Ir Lord Lome, at the time he was under the tuition CunniW- of Mr C unningham, though not feventeen years of age, Lun","George, Holland, Sunderland, Orange, Carmichael","US,ZA,GB,DE",5,"United States,South Africa,United Kingdom,Germany","North America,Africa,Europe,Europe"
"Mr Cunningham’s political friends, Argyle, Sun¬ derland, Sir Robert Walpole, &c. on the acceffion of George I. fent him as Britilh envoy to the republic of Venice. He arrived in that city in 1715*, and con¬ tinued there, in the character of refident, till the year 1720, when he returned again to London. He lived many years after, which he feems chiefly to have paf- fed in a ftudious retirement. In 1735, he was vilited in London by Lord Hyndford, by the dir eft ion of his lordfhip’s father, to whom he had been tutor, when he appeared to be very old. He feems to have lived about two years after : for the body of an Alexander Cunningham lies interred in the vicar chancel of St Martin’s church, who died in the 83d year of his age, on the 15th day of May 173 7; and who was pro¬ bably the fame perfon","George, Venice, London, London, Martin","GB,ZA,US,SK",5,"United Kingdom,South Africa,United States,Slovakia","Europe,Africa,North America,Europe"
"His “ Hiftory of Great Britain, from the revolu¬ tion in 1688 to the acceffion of George I.” was pub- liftied in two volumes 4to, in 1787. It was written by Mr Cunningham in Latin, but was tranflated into Englifli by the reverend William Thomfon, L.L.D",George,ZA,5,South Africa,Africa
"CUNOCEPHALI,in Mythology, (from K»»»,“dog,’v and KipxM, “ head,”) a kind of baboons, or animals with heads like thofe of dogs, which were wonder¬ fully endowed, and were preferved with great venera¬ tion by the Egyptians in many of their temples. It is related, that by their aftiftance the Egyptians found out the particular periods of the fun and moon ; and that one half of the animal w7as often buried, while- the other half furvived : and that they could read and write. This ftrange hiftory, Dr Bryant imagines, re¬ lates to the priefts of Egypt, ftyled cahen, to the no¬ vices in their temples, and to the examinations they were obliged to undergo, before they could be ad¬ mitted to the priefthood. The Egyptian colleges were fituated upon rocks or hills, called caph, and from- their confecration to the fun, caph-el; whence the Greeks deduced KSpfljXjj, and fromctf/zf»-c«/>/$-e/they form¬ ed x.vvtKYi<p£6X'js. So that cahen-caph-el was fome royal feminary in Upper Egypt, whence they draughted novi¬ ces to fupply their colleges and temples. By this etymology he explains the above hiftory. The death si- cup of one part, while the other furvived, denoted the re¬ gular fucceftion of the Egyptian priefthood. The cu- \10cephali are alfo found in India and other parts of the world. Thefe and the acephali were thus denomi¬ nated from their place of refidence and from their worfhip",,"EG,IN",5,"Egypt,India","Africa,Asia"
"The Wood of the fempervirens, or evergreen cyprefs, is faid to refift worms, moths, and putrefa&ion, and to laft many centuries. The coffins in which the A- thenians were wont to bury their heroes, were made, fays Thucydides, of this wood j as were likewife the chefts containing the Egyptian mummies. The doors of St Peter’s church at Rome were originally of the fame materials. Thefe, after lafting upwards of 600 years, at the end of which they did not difeover the imalleft tendency to corruption, were removed by or¬ der of Pope F.ugenius IV. and gates of brafs fubftituted in their place. The fame tree is by many eminent au¬ thors recommended as improving and meliorating the -air bv its balfamic and aromatic exhalations ; upon VOL. VII. Part I",Rome,"US,EG",5,"United States,Egypt","North America,Africa"
"' ■ ■. : ■ t 8 ] CUR CURCAS, a name given in Egypt to an efculent Curcas root, approaching to the tafte and virtues of the colo- |] cafia. It is alfo a name ufed in Malabar for a fmall Curetes",,EG,5,Egypt,Africa
"fruit of the thape and fize of a hazel nut. Both thefe v ~ things have the credit of being ftrong provocatives : and it is very probable that the curcas of the Eaft In¬ dies may be the fruit called bell by Avicenna, and faid to poffefs the fame virtues. Gracias has been led into a very great error by this fimilarity of names and vir¬ tues j and fuppofes the curcas of Egypt the fame with that of the Eaft Indies",,EG,5,Egypt,Africa
"In the fea, currents are either natural and general, as arifing from the diurnal rotation of the earth about its axis 3 or accidental and particular, caufed by the waters being driven againft promontories, or into gulfs and ftraits, where, wanting room to fpread, they are driven back, and thus difturb the ordinary flux of the fea. Currents are various, and directed towards different parts of the ocean, of which fowe Z l 7 ] CUR are conflant, others periodical. The moft extraordi¬ nary current of the fea is that by which part of the Atlantic or African ocean moves about Guinea from Cape Verd towards the curvature or bay of Africa which they call Fernando Poo ; viz. from weft to eaft* contrary to the general motion : and fuch is the force of the current, that when Ihips approach too near the Ihore, it carries them violently towards that bay, and deceives the mariners in their reckoning. There’ is a great variety of ftiifting currents, which do not laft, but return at certain periods : and thefe do, moft of them, depend upon and follow the anniverfary winds or monfoons, which by blowing in one place may caufe a current in another. Varenius informs us, that at Java, in the ftraits of Sunda, when the monfoons blow from the weft, viz. in the month of May, the currents fet to the call ward, contrary to the general motion. Between the ifland of Celebes and Madura, when the weftern monfoons fet in, viz. in December^ January, and February, or when the winds blow from the north-weft, or between the north and weft, the currents fet to the fouth-eaft, or between the foutli and eafl. At Ceylon, from the middle of March to Odfober, the currents let to the fouthward, and in the other parts of the year to the northward : becaufe at this time the fouthern monfoons blow, and' at the other the northern. Between Cochin-China and Ma¬ lacca, when the weftern msnfoons blow, viz. from April to Auguft, the currents fet eaftward againft the general motion 3 but the reft of the year they fet weft ward, the monfoon confpiring with the general motion. They run fo ftrongly in thefe feas, that un¬ experienced failors miftake them for waves that beat upon the rocks, known uiually by the name of break¬ ers. So for fome months after the 15th of February, the currents fet from the Maldives towards India cm the eaft, againft the general motion of the fea. On the ffiore of China and Cambodia, in the months of Odto- ber, November, and December, the currents fet to the north-weft, and from January to the fouth-weft,. whsn they run with fuch rapidity about the ftioals of Parcel, that they feem fwifter than an arrow.. A t Pulo Ccn- dore, upon the coaft of Cambodia, though the mon¬ foons are fhiftmg, yet the currents fet ftrongly to¬ wards the eaft, even when they blow to a contrary point. Along the coafts of the bay of Bengal, as far as the Cape Romania, at the extreme point of Malacca* the current runs fouthward in November and December. When the monfoons blow from China to Malacca, the fea runs fwiftly from Pulo Cambi to Pulo Condore on the coaft of Cambodia. In the bay of Sans Bras, not far from the Cape of Good Hope, there is a current particularly remarkable, where the ffa runs from eaft to weft to the landward j and this more vehemently, as it is oppofed by winds from a contrary dire&ion. The caufe is undoubtedly owing to fome adjacent ftiore which is higher than this. In the ftraits of Gibraltar the currents almoft conftantly drive to the eaftward, and carry ftiips into the Medi¬ terranean 3 they are alfo found to drive the fame way into St George’s channel","March, Along, Malacca, Malacca","CN,KH,IN,GI,MY,GN,MV,GB",5,"China,Cambodia,India,Gibraltar,Malaysia,Guinea,Maldives,United Kingdom","Asia,Asia,Asia,Europe,Asia,Africa,Asia,Europe"
