Entry,City,Country code,Edition,Country,Continent
"Adelaide (Port), settlement at, XXI. 722",Adelaide,AU,7,Australia,Oceania
"Ashburton, III. 670",Ashburton,NZ,7,New Zealand,Oceania
"Auckland (Lord), his opinion as to AUC—AUR whether all treaties are annulled by war, V. 509",Auckland,NZ,7,New Zealand,Oceania
"Auckland (Bishop’s), in Durham. See Bishop’s Auckland","Auckland, Durham, Auckland","NZ,US",7,"New Zealand,United States","Oceania,North America"
"Australia, animals of, XVII. 551",,AU,7,Australia,Oceania
"Bathurst, (Allen, earl of), IV. 448","Bathurst, Allen","AU,US",7,"Australia,United States","Oceania,North America"
"Blenheim, village in Bavaria, IV. 693 —battle of, V. 369; IV. 457",Blenheim,NZ,7,New Zealand,Oceania
"Briggs, (H.), V. 287—on logarithms, XIII. 418,419,431; XIV. 316 ; XXL 374—his intercourse with Napier of Merchiston, XV. 692",Napier,NZ,7,New Zealand,Oceania
"(Dr Thomas), V. 601—his obser¬ vations on Darwin’s Zoonomia, I. 394 —his work on Causation, ib.—early life and studies of, 395—his character, ib.—style, 396—poetical talents, 397— philosophy, ib. et seq,—on apparitions, III. 304—on Adam Smith’s Theory of Moral Sentiments, XX. 415",Darwin,AU,7,Australia,Oceania
"Bude canal to Launceston, XVI. 9",Launceston,AU,7,Australia,Oceania
"Cairns, or barrows, V. 778 ; IV. 409",Cairns,AU,7,Australia,Oceania
"Camberwell, in Surrey, VI. 31","Camberwell, Surrey","AU,CA",7,"Australia,Canada","Oceania,North America"
"Cannibalism practised by some Ameri¬ can tribes, II. 621, 632—revolting con¬ clusion respecting it, from the fact that the flesh of the highest classes of ani¬ mals is most nutritious, III. 166—in Ansiko, 238—in New Zealand, IV. 216 —among the Battas, 451; XX. 806",,NZ,7,New Zealand,Oceania
"Carlingford, Irish town, VI. 142 — lighthouse of, XX. 17",Carlingford,"AU,IE",7,"Australia,Ireland","Oceania,Europe"
"  (Capt. James), VII. 295—his voyages, X. 402 ; IV. 349—his disco¬ veries in N. America, II. 403; New Holland, IV. 205, 210 ; New Guinea, 211; the New Hebrides, 214; New Caledonia, 214; New Zealand, 215; Kerguelen’s Land, 217 ; the arctic and antarctic regions, XVIII. 219, 224 ; and Polynesia, XVIII. 319, 324, 325","Holland, Caledonia","US,NZ",7,"United States,New Zealand","North America,Oceania"
"Daru (Comte de),historian, VII. 630",Daru,PG,7,Papua New Guinea,Oceania
"Darwin (Erasmus), VII. 631—Dr T",Darwin,AU,7,Australia,Oceania
"Devonport, XVIII. 67",Devonport,AU,7,Australia,Oceania
"Division, VIII. 71—in algebra, II. 429, 433—in arithmetic. III. 547—of vul¬ gar fractions, 559—of decimals, 561, 562, 565—by Napier’s Rods, XV. 693",Napier,NZ,7,New Zealand,Oceania
"Emigration, VIII. 683 — to Buenos Ayres, V. 646—Canada, VI. 67—Chili, 538—Colombia, VII. 91, 111—New South Wales, XXI. 721—New Zealand, 975—the United States, 460; XVIII",,"CA,CO,NZ,US",7,"Canada,Colombia,New Zealand,United States","North America,South America,Oceania,North America"
"Epping, town in Essex, IX. 318","Epping, Essex","AU,US",7,"Australia,United States","Oceania,North America"
"Eugene (Prince), IX. 393 ; V. 143—his military exploits, IV. 220 ; XXI. 413 —at the battle of Blenheim, V. 369","Eugene, Blenheim","US,NZ",7,"United States,New Zealand","North America,Oceania"
"— dyeing of, ib.—New Zealand flax, XXI. 823, 720. See Hemp",,NZ,7,New Zealand,Oceania
"FOK—FOU Forster (J. R.), IX. 752—on the aurora australis, IV. 197—his botanical la¬ bours, V. 78—on Coptic, XI. 315— on birds of paradise, XVI. 585",Forster,AU,7,Australia,Oceania
"Gold Coast, X. 605 ; XI. 29",Gold Coast,AU,7,Australia,Oceania
"Goulburn (Mr), his act for the suppres¬ sion of the Catholic Association in Ireland, V. 563",Goulburn,"IE,AU",7,"Ireland,Australia","Europe,Oceania"
"Granville, French seaport, X. 711",Granville,"AU,FR",7,"Australia,France","Oceania,Europe"
"Guam, island, XI. 12",,GU,7,Guam,Oceania
