Entry,City,Country code,Edition,Country,Continent
"EDINBURGH: Printed for A. Bell and C. Macearquhar; Aid fold by C o l i n M a cf a r q.u h a r, at his Printing-office, N.coifon-HreeL \l965r",Bell,US,1,United States,North America
Campbell’sdiffertation on miracles,Campbell,US,1,United States,North America
"Catelhy’s natural hiftory of Carolina, Florida, &c","Carolina, Florida","PR,UY",1,"Puerto Rico,Uruguay","North America,South America"
Duncan’s moral philofbphy,Duncan,US,1,United States,North America
Euclid’s elements,Euclid,US,1,United States,North America
"Franklin on electricity, fee",Franklin,US,1,United States,North America
Hill’s Eden,Eden,US,1,United States,North America
Langley’s builder’s adiftant,Langley,CA,1,Canada,North America
Earl of Pembroke on horfemanfliip,Pembroke,CA,1,Canada,North America
Sloane’s natural hiftory of Jamaica,,JM,1,Jamaica,North America
'Willoughby’s ornitbologia,Willoughby,US,1,United States,North America
"Encyclopaedia Britannica; Or, A NEW a D I C T I o ARTS and S A B A A, the name of feveral rivers in different parts of the world, viz, i. of one in Solagne, in France; 2. of one in French Flanders; 3, of three in Switzerland; 4. of five in the Low Countries; 5, of five in Weftphalia; 6. of one in Livonia",Livonia,"FR,CH,US",1,"France,Switzerland,United States","Europe,Europe,North America"
"It correfponds to part of our June and July, and con- fifts of 30 days. On the firfi of this month the Jews commemorate the death of Aaron by a fall: they fall alfo on the ninth, becaufe on that day both the temple of Solomon and that erefted after the captivity were burnt. The fame day is alfo remarkable for the publi¬ cation of Adrian’s edi£t, prohibiting the Jews to look, back, even when at a dillance, upon Jerufalem, or to Vol. I. No., x",Adrian,US,1,United States,North America
"ABADIR, a title which the Carthaginians gave to gods of the fird order. In the Roman mythology, it is the name of a done which Saturn fwallowed, believing.it to be his new-born fon Jupiter: hence it became the object of religious worfhip","Roman, Jupiter","RO,US",1,"Romania,United States","Europe,North America"
"ABANCAI, or Abancays, a town and river of Peru, in the didridt of Lima",Lima,"PE,US",1,"Peru,United States","South America,North America"
"ABANO, a fmall town in Italy, fubjedt to Venice, and fituated five miles fouth-wed of Padua",Venice,"IT,US",1,"Italy,United States","Europe,North America"
"equivalent in value to a French livre, or tenpence half¬ penny Sterling. It took its name from Schaw Abas II",Sterling,"US,FR",1,"United States,France","North America,Europe"
"ABBEVILLE, a large city of Piccardy in France, ly¬ ing 90 miles north of Paris, in 50. 7. N. lat. and 2. o. E. long",Paris,"FR,US",1,"France,United States","Europe,North America"
"ABBREVIATOR, a perfon who abridges any large book into a narrower compafs.” ABBREVIATORS, a college of 72.perfons in the chan¬ cery of Rome, who draw up the pope’s brieves, and reduce petitions into proper form",Rome,US,1,United States,North America
The new town is the capital of the (hire of Aberdeen,Aberdeen,US,1,United States,North America
"For largenefs, trade, and beauty, it greatly exceeds any town in the North. It (lands upon a hill or rifing ground. The buildings are generally four (lories high, and have, for the mod part, gardens behind them, which gives it a beautiful appearance. On tire high dreet is a large church, which formerly belonged to the Fran- cifcans. This church was begun by Bp William El- phindon, and finifhed by Gavinus Dunbar, Bidiop of Aberdeen, about the 1500. Bp Dunbar is faid like- wife to have built the bridge over the Dee, which Con- fids of feven arches.. The chief public building in the new town is the Maridrall-college, founded by George Keith Earl of Mar (hall, in the year 1593; but has fince been greatly augmented with additional buildings. In both the Mariihali and King’s-college the languages, mathematics, -natural philofophy, divi¬ nity, (be. are taught by very able profefi'ors ABERDOUR, a fmall town in Fifdhire, Scotland, on the frith of Forth, about ten miles N. W. of Edin¬ burgh",Aberdeen,US,1,United States,North America
"“ Now, a miracle is a violation of the laws of na- “ ture ; and as a firm and unalterable experience has “ eftabliffied thefe laws, the proof againft a miracle, “ from the very nature of the fad, is as complete as' “ any argument from experience can poflibly be ima- “ gined; and if fo, it is an undeniable confequence, “ that it cannot be furmounted by any proof what- “ ever derived from human teftimony.” In Dr Campbell’s Differtation on Miracks, the au¬ thor’s principal aim is to ffiew the fallacy of Mr Hume’s argument; which he has done moft fuccefsfully by an¬ other fingle argument, as follows : “ The evidence arifing from human teftimony is “ not folely derived from experience : on the contra- “ ry, teftimony hath a natural influence on belief an- “ tecedent to experience. The early and unlimit- “ ed affent given to teftimony by children gradually .“ contrads as they advance in life: it is, therefore, “ more confonant to truth, to fay, that our diffidence “ in teftimony is the refult of experience, than that “ our faith in it has this foundation. Befides, the",Campbell,US,1,United States,North America
"ABRUZZO, in geography, the name of two provinces belonging to the K. of Naples, on the gulph of Ve¬ nice, diftinguilhed by Nearer and Farther Abruzzo, from their pofition with refpcft to Naples, ABSCEDENTIA, in furgery, a term applied to decay¬ ed parts of the body, which, in a morbid ftate, are feparated from the found, or lofe that union which was preferred in a natural ftate","Naples, Naples",US,1,United States,North America
"ABUTILON, in botany, the trivial name of feveral fpecies of the fida. See Si da. Abutilon is alfo a fynonime of the melochia tomentofa, and melochia de- preffa, two American plants of the monadelphia pen- tandria clafs. It it is likewife a fynonime of the la- vatora, malva, and hibifeus",,US,1,United States,North America
"ACADEMY, in antiquity, a garden or villa, fituated within a mile of Athens, where Plato and his follow¬ ers held their philofophical conferences. It took its name from one Academus, or Ecademus, a citizen of Athens, who was the original owner of it, and made it a kind of gymnafium : he lived in the time of Tne- feus. . Cimon embellilhed it with fountains, trees, and walks ; but Sylla, during the liege of Athens, employed thefe very trees in making battering-engines againft the city. Cicero too had his villa, or place of retirement, near Puzzuoli, which he alfo named an academy, where he compofed his Academical que- Jlions, and his book De natura deorum","Athens, Plato, Athens, Athens, Cicero","US,CO",1,"United States,Colombia","North America,South America"
"The French have leveral academies; as, the Royal Academy of Sciences, for the improvement of phy- fics, mathematics, and chemillry. It was firft inlli- tuted in 1666, by the afliftance of Mr Colbert, comptroller-general of the finances, but was not con¬ firmed by the French king till the year 1696, who, by a regulation dated the 26th of January, new-mo¬ delled and put it on a better footing. According to this regulation, the academy was to be compofed of ten honorary academicians, eight Grangers aflbciates, twenty penfionaries fellows, twenty eleves orfcholars, and twelve French affociates; thefe were to be divi¬ ded into fix clafles, viz geometricians, aftronomers, mechanics, anatomifts, chemifts, and botanifts; the honorary academifls to be all inhabitants of France, the penfionaries and eleves all to refide at Paris",Paris,"FR,US",1,"France,United States","Europe,North America"
"The academies of Florence and Bologne, of Mont- pel ier and Bourdeaux, of Leipfic and Berlin, and of late thofe of Petersburg and Seville, were formed up¬ on the fame model with the Royal Academy of Sci¬ ences","Florence, Berlin, Petersburg","US,DE",1,"United States,Germany","North America,Europe"
"There is alfo an academy of painting, fculpture, iyc. at Rome, eftablilhed by Lewis XIV. wherein thofe who have won the annual prize at Paris, are en¬ titled to be three years entertained for their further improvement","Rome, Paris",US,1,United States,North America
"The French have alfo academies in moft of their great cities, as, the Academy of Sciences at Mont¬ pelier, that of the Lanternifts at Thouloufe; befides others at Nifmes, Arles, Angiers, Lyons, Caen in Normandy, &c.; and the Chirurgical Academy at Paris is a modern inilitution for the general improve¬ ment of the art, and to compile and publilh the an¬ cient and modern hiftoryof it","Arles, Caen, Paris","FR,US",1,"France,United States","Europe,North America"
"Berlin Academy, was founded by Frederick I. the late King of Pruflia, in the year 1700. It has for its objeCts the improvement of natural knowledge, and the belles lettres. The charter of this fociety was amended in 1710, and by it the prefident is to be no¬ minated by the king. The members are divided into four claffes ; 1. for phyfic, medicine, and chemiftry; 2. for mathematics, aftronomy, and mechanics; 5. for the German language, and the hiftory of the country; 4. for Oriental learning, particularly what relates to the propagation of the gofpel among infidels. The great promoter of this foundation was the celebrated Mr Leibnitz",Frederick,"US,DE",1,"United States,Germany","North America,Europe"
"Ruffian Academy was founded by Czar Peter the Great, at Peterlburg, upon the plan of the Academy of Sci¬ ences at Paris ; befides which, they take in the Ruf¬ fian language",Paris,US,1,United States,North America
"ACADIE, or Acadia, in geography, a name former¬ ly given to Nova Scotia, one of our American colo¬ nies. See Nova Scotia",,US,1,United States,North America
"ACAJA, in botany, a lynanime of the fpondias lutea, an American tree. See Spondias",,US,1,United States,North America
"ACAPATLI, the American name of the piper longum, or long pepper. See Pi pep.",,US,1,United States,North America
"ACAPULCO, in geography, a fea-port town in North America, in 102. o. W. long. 17. 3. N. lat. fituated in the province of Mexico, on a fine bay of the South- fea, from whence a (hip fails annually to Manilla in the Philippine iflands",,MX,1,Mexico,North America
"ACCALIA, in antiquity, folemn feafts held in honour of Acca Laurentia, nurfe to Romulus. They were otherwife called Laurentalia. To the fame Ac¬ ca is alfo afcribed the inftitution of the fratres ar- vales",Romulus,US,1,United States,North America
"Acceptance, in the church of Rome, is put for recei¬ ving the Pope’s conftitutions",Rome,US,1,United States,North America
